Date,Open,High,Low,Close,Volume,Return
2019-12-31 00:00:00+00:00,66.78949737548828,67.03299713134766,66.60649871826172,66.96949768066406,19514000,-0.00023884036340637849
2020-01-02 00:00:00+00:00,67.42050170898438,68.43399810791016,67.32450103759766,68.43399810791016,27278000,0.021868171002706216
2020-01-03 00:00:00+00:00,67.4000015258789,68.6875,67.36599731445312,68.07599639892578,23408000,-0.005231342883399326
2020-01-06 00:00:00+00:00,67.58149719238281,69.91600036621094,67.55000305175781,69.8905029296875,46768000,0.026654131070351195
2020-01-07 00:00:00+00:00,70.02300262451172,70.17500305175781,69.5780029296875,69.75550079345703,34330000,-0.0019316234763153695
2020-01-08 00:00:00+00:00,69.74099731445312,70.59249877929688,69.63150024414062,70.25199890136719,35314000,0.007117691110558599
2020-01-09 00:00:00+00:00,71.09649658203125,71.43399810791016,70.510498046875,70.989501953125,33200000,0.010497965371679463
2020-01-10 00:00:00+00:00,71.47350311279297,71.74700164794922,70.9800033569336,71.447998046875,26258000,0.00645864643553562
2020-01-13 00:00:00+00:00,71.76249694824219,72.0739974975586,71.26850128173828,72.00150299072266,30730000,0.0077469622519656944
2020-01-14 00:00:00+00:00,72.0,72.13150024414062,71.38849639892578,71.52950286865234,26076000,-0.006555420407420187
2020-01-15 00:00:00+00:00,71.6510009765625,72.03900146484375,71.58300018310547,71.95999908447266,21550000,0.006018442720213235
2020-01-16 00:00:00+00:00,72.27249908447266,72.53500366210938,72.0,72.50800323486328,26080000,0.007615399629832265
2020-01-17 00:00:00+00:00,73.12699890136719,74.02749633789062,72.82749938964844,73.97599792480469,52424000,0.02024596767871789
2020-01-21 00:00:00+00:00,73.94999694824219,74.49400329589844,73.510498046875,74.11250305175781,48930000,0.0018452623929707812
2020-01-22 00:00:00+00:00,74.48650360107422,75.02899932861328,74.13300323486328,74.19349670410156,28458000,0.0010928473470555033
2020-01-23 00:00:00+00:00,74.37750244140625,74.67500305175781,74.01599884033203,74.2344970703125,26650000,0.0005526140164879845
2020-01-24 00:00:00+00:00,74.64099884033203,74.70999908447266,73.15899658203125,73.30850219726562,29786000,-0.012473915896133891
2020-01-27 00:00:00+00:00,71.5770034790039,71.8290023803711,70.9749984741211,71.58650207519531,34132000,-0.02348977363412208
2020-01-28 00:00:00+00:00,72.08699798583984,72.73999786376953,71.51799774169922,72.5250015258789,29724000,0.01311000570607268
2020-01-29 00:00:00+00:00,72.9229965209961,73.20700073242188,72.26950073242188,72.83499908447266,21566000,0.004274354389129265
2020-01-30 00:00:00+00:00,71.90499877929688,72.76249694824219,71.75,72.7125015258789,27110000,-0.0016818502112107003
2020-01-31 00:00:00+00:00,73.39299774169922,73.4834976196289,71.35299682617188,71.63899993896484,43822000,-0.014763645375781675
2020-02-03 00:00:00+00:00,73.0824966430664,74.31500244140625,72.83049774169922,74.12999725341797,71636000,0.034771525517879986
2020-02-04 00:00:00+00:00,72.72450256347656,73.36699676513672,71.10150146484375,72.27050018310547,95880000,-0.025084272753386094
2020-02-05 00:00:00+00:00,73.18049621582031,73.22899627685547,71.48400115966797,72.30249786376953,36376000,0.0004427488474965102
2020-02-06 00:00:00+00:00,72.5989990234375,74.0780029296875,72.52400207519531,73.79850006103516,37822000,0.02069087848229456
2020-02-07 00:00:00+00:00,73.36949920654297,74.26249694824219,73.27050018310547,73.95549774169922,28360000,0.0021273830841306296
2020-02-10 00:00:00+00:00,73.86150360107422,75.44400024414062,73.76000213623047,75.43299865722656,38302000,0.019978243141405727
2020-02-11 00:00:00+00:00,75.66349792480469,76.49400329589844,75.27249908447266,75.50299835205078,34852000,0.000927971790466664
2020-02-12 00:00:00+00:00,75.79299926757812,76.01499938964844,75.43350219726562,75.93150329589844,31042000,0.005675336783973028
2020-02-13 00:00:00+00:00,75.5,76.29750061035156,75.19999694824219,75.66950225830078,22914000,-0.0034504919068526485
2020-02-14 00:00:00+00:00,75.72650146484375,76.00250244140625,75.27749633789062,75.9365005493164,23198000,0.0035284795465446717
2020-02-18 00:00:00+00:00,75.71700286865234,76.52799987792969,75.55049896240234,75.97200012207031,25642000,0.00046749023851644367
2020-02-19 00:00:00+00:00,76.36000061035156,76.53700256347656,76.04900360107422,76.24349975585938,22746000,0.003573680215774422
2020-02-20 00:00:00+00:00,75.95050048828125,76.35350036621094,75.21299743652344,75.84950256347656,25962000,-0.005167616828246846
2020-02-21 00:00:00+00:00,75.22899627685547,75.54750061035156,73.92449951171875,74.1729965209961,42520000,-0.022103059160835548
2020-02-24 00:00:00+00:00,71.15249633789062,71.81900024414062,70.3395004272461,70.99299621582031,49560000,-0.04287274957639897
2020-02-25 00:00:00+00:00,71.55000305175781,71.84249877929688,69.02100372314453,69.31600189208984,51580000,-0.02362196854788845
2020-02-26 00:00:00+00:00,69.7490005493164,70.68350219726562,68.82749938964844,69.52349853515625,49776000,0.0029934883346189878
2020-02-27 00:00:00+00:00,67.95700073242188,68.47000122070312,65.71199798583984,65.74749755859375,62290000,-0.05431258576052633
2020-02-28 00:00:00+00:00,63.71549987792969,67.12249755859375,63.410499572753906,66.9625015258789,80198000,0.018479851133533343
2020-03-02 00:00:00+00:00,67.56950378417969,69.37349700927734,66.26000213623047,69.31600189208984,55430000,0.03514654190900246
2020-03-03 00:00:00+00:00,69.88400268554688,70.40950012207031,66.46199798583984,66.88600158691406,56602000,-0.03505684457910263
2020-03-04 00:00:00+00:00,67.947998046875,69.13899993896484,66.8499984741211,69.08000183105469,47598000,0.03280208402485618
2020-03-05 00:00:00+00:00,67.27749633789062,67.68150329589844,65.08200073242188,65.73799896240234,54380000,-0.04837873161650608
2020-03-06 00:00:00+00:00,63.497501373291016,65.13749694824219,62.86050033569336,64.78700256347656,64640000,-0.014466464053304762
2020-03-09 00:00:00+00:00,60.24800109863281,62.63650131225586,59.902000427246094,60.78950119018555,69252000,-0.06170221209685345
2020-03-10 00:00:00+00:00,62.71950149536133,63.79249954223633,60.72549819946289,63.75849914550781,54872000,0.04884063690592688
2020-03-11 00:00:00+00:00,62.41350173950195,62.846500396728516,59.55699920654297,60.54499816894531,54732000,-0.05040113897958509
2020-03-12 00:00:00+00:00,56.13100051879883,59.4375,55.423500061035156,55.57749938964844,94326000,-0.08204639407925196
2020-03-13 00:00:00+00:00,58.7495002746582,60.720001220703125,55.614498138427734,60.7135009765625,79400000,0.0924115270265411
2020-03-16 00:00:00+00:00,54.480499267578125,57.27349853515625,53.354000091552734,53.650001525878906,96520000,-0.11634149467694754
2020-03-17 00:00:00+00:00,54.53200149536133,56.29999923706055,52.45500183105469,55.90299987792969,83194000,0.04199437629025993
2020-03-18 00:00:00+00:00,52.99700164794922,55.2495002746582,51.849998474121094,54.55950164794922,93044000,-0.02403266788748626
2020-03-19 00:00:00+00:00,54.4109992980957,57.63050079345703,52.77750015258789,55.583499908447266,74064000,0.01876846799491494
2020-03-20 00:00:00+00:00,56.54499816894531,56.92399978637695,53.10499954223633,53.410499572753906,82878000,-0.039094341653054476
2020-03-23 00:00:00+00:00,52.81850051879883,53.34550094604492,50.44350051879883,52.70650100708008,83672000,-0.013180902094257041
2020-03-24 00:00:00+00:00,55.19900131225586,56.666500091552734,54.32149887084961,56.5004997253418,72468000,0.07198350574916867
2020-03-25 00:00:00+00:00,56.229000091552734,57.30849838256836,54.1505012512207,55.08100128173828,90324000,-0.025123644047467364
2020-03-26 00:00:00+00:00,55.736000061035156,58.57400131225586,54.60150146484375,58.145999908447266,76562000,0.05564529611637914
2020-03-27 00:00:00+00:00,56.37350082397461,57.5525016784668,55.20000076293945,55.51300048828125,62794000,-0.045282554678082065
2020-03-30 00:00:00+00:00,56.63199996948242,57.54999923706055,54.92449951171875,57.31549835205078,58736000,0.03246983315466867
2020-03-31 00:00:00+00:00,57.436500549316406,58.66999816894531,56.83599853515625,58.09749984741211,65228000,0.013643805215790339
2020-04-01 00:00:00+00:00,56.20000076293945,56.47100067138672,54.67449951171875,55.10499954223633,51970000,-0.05150824584595404
2020-04-02 00:00:00+00:00,55.0,56.13850021362305,54.65650177001953,55.85150146484375,56410000,0.013546900078190705
2020-04-03 00:00:00+00:00,55.73550033569336,55.93949890136719,53.75400161743164,54.6349983215332,51374000,-0.021781028466643537
2020-04-06 00:00:00+00:00,56.650001525878906,59.537498474121094,56.25,59.15950012207031,63320000,0.08281325047197585
2020-04-07 00:00:00+00:00,60.85049819946289,61.03900146484375,58.86249923706055,59.12799835205078,61620000,-0.0005324887795625788
2020-04-08 00:00:00+00:00,60.154998779296875,60.744998931884766,59.1974983215332,60.349998474121094,40334000,0.02066703010635451
2020-04-09 00:00:00+00:00,60.909000396728516,61.0994987487793,59.62099838256836,60.32849884033203,54028000,-0.00035624911901666056
2020-04-13 00:00:00+00:00,60.07500076293945,60.72600173950195,59.11650085449219,60.52050018310547,38702000,0.0031825977185608867
2020-04-14 00:00:00+00:00,61.99850082397461,63.787498474121094,61.426998138427734,63.26150131225586,63358000,0.04529045729723746
2020-04-15 00:00:00+00:00,62.32550048828125,63.75550079345703,61.70000076293945,62.8650016784668,42236000,-0.006267629214677606
2020-04-16 00:00:00+00:00,63.356998443603516,63.667999267578125,61.90999984741211,62.871498107910156,57896000,0.00010333936641870878
2020-04-17 00:00:00+00:00,64.08499908447266,64.5,63.29999923706055,63.95000076293945,51050000,0.017154079153294477
2020-04-20 00:00:00+00:00,63.49449920654297,63.840999603271484,62.821998596191406,63.057498931884766,35292000,-0.013956244259686001
2020-04-21 00:00:00+00:00,62.135501861572266,62.5,60.25,60.608001708984375,49648000,-0.038845454773687726
2020-04-22 00:00:00+00:00,62.05550003051758,63.99399948120117,61.86000061035156,62.920501708984375,46296000,0.03815502796320036
2020-04-23 00:00:00+00:00,63.2869987487793,64.40750122070312,63.0265007019043,63.55849838256836,34202000,0.010139726420727024
2020-04-24 00:00:00+00:00,62.75,63.885501861572266,62.20000076293945,63.83000183105469,37402000,0.004271709612333918
2020-04-27 00:00:00+00:00,64.5999984741211,64.70500183105469,63.25299835205078,63.542999267578125,44186000,-0.004496358377619969
2020-04-28 00:00:00+00:00,64.16000366210938,64.23799896240234,61.51900100708008,61.62950134277344,80700000,-0.03011343416049639
2020-04-29 00:00:00+00:00,67.25,68.00749969482422,66.33650207519531,67.10900115966797,108358000,0.0889103383527059
2020-04-30 00:00:00+00:00,66.56800079345703,67.5,66.07499694824219,67.33499908447266,55842000,0.0033676246241094443
2020-05-01 00:00:00+00:00,66.20449829101562,67.57150268554688,65.48300170898438,65.86599731445312,48872000,-0.021816318259344603
2020-05-04 00:00:00+00:00,65.40650177001953,66.22350311279297,64.80049896240234,66.1449966430664,30806000,0.004235862812207891
2020-05-05 00:00:00+00:00,66.875,68.55049896240234,66.75150299072266,67.45099639892578,39666000,0.019744498029183433
2020-05-06 00:00:00+00:00,67.9000015258789,68.43450164794922,67.25650024414062,67.27149963378906,31732000,-0.0026611432702212667
2020-05-07 00:00:00+00:00,68.06549835205078,68.80000305175781,67.62699890136719,68.46399688720703,30652000,0.017726634011574927
2020-05-08 00:00:00+00:00,69.09100341796875,69.83200073242188,68.60050201416016,69.21700286865234,33326000,0.010998568819840848
2020-05-11 00:00:00+00:00,68.8395004272461,70.77649688720703,68.7750015258789,70.17949676513672,32718000,0.013905454680128493
2020-05-12 00:00:00+00:00,70.41100311279297,70.71649932861328,68.72550201416016,68.75900268554688,33918000,-0.020240870126836064
2020-05-13 00:00:00+00:00,68.80799865722656,69.2665023803711,66.40049743652344,67.41649627685547,40368000,-0.019524809206890925
2020-05-14 00:00:00+00:00,66.6760025024414,67.86849975585938,66.16500091552734,67.84300231933594,36660000,0.006326434419388516
2020-05-15 00:00:00+00:00,67.41300201416016,68.72899627685547,66.94999694824219,68.65299987792969,41544000,0.011939294118811228
2020-05-18 00:00:00+00:00,68.0790023803711,69.63800048828125,67.70999908447266,69.25900268554688,47094000,0.008827040459917335
2020-05-19 00:00:00+00:00,69.27400207519531,69.62449645996094,68.68800354003906,68.72000122070312,31586000,-0.007782402921551634
2020-05-20 00:00:00+00:00,69.45800018310547,70.60150146484375,69.37100219726562,70.45800018310547,38262000,0.025291020540301412
2020-05-21 00:00:00+00:00,70.54949951171875,70.822998046875,69.71949768066406,70.3375015258789,30894000,-0.0017102196615489396
2020-05-22 00:00:00+00:00,70.19499969482422,70.8499984741211,69.79750061035156,70.66200256347656,28544000,0.004613485417565899
2020-05-26 00:00:00+00:00,72.0979995727539,72.25550079345703,70.97000122070312,71.06849670410156,44590000,0.0057526552585294155
2020-05-27 00:00:00+00:00,71.0,71.26750183105469,69.7300033569336,71.01399993896484,31684000,-0.0007668202883708286
2020-05-28 00:00:00+00:00,70.0,72.2229995727539,69.9540023803711,70.91200256347656,35170000,-0.0014362995405968748
2020-05-29 00:00:00+00:00,71.02149963378906,71.83650207519531,70.79900360107422,71.6760025024414,37044000,0.010773915717313898
2020-06-01 00:00:00+00:00,71.28500366210938,72.0790023803711,71.11399841308594,71.74349975585938,25162000,0.0009416994679030122
2020-06-02 00:00:00+00:00,71.75,72.1500015258789,71.08049774169922,72.1155014038086,23442000,0.005185161711027897
2020-06-03 00:00:00+00:00,72.13500213623047,72.45050048828125,71.58100128173828,71.9625015258789,27732000,-0.0021215948714405908
2020-06-04 00:00:00+00:00,71.83899688720703,72.06600189208984,70.30049896240234,70.71499633789062,26982000,-0.01733548947766439
2020-06-05 00:00:00+00:00,70.78199768066406,72.31500244140625,70.38099670410156,72.0009994506836,42642000,0.018185719852804372
2020-06-08 00:00:00+00:00,71.31400299072266,72.44999694824219,71.2239990234375,72.4020004272461,33878000,0.005569380697793891
2020-06-09 00:00:00+00:00,72.26200103759766,73.38999938964844,72.11799621582031,72.60399627685547,33624000,0.002789920836681281
2020-06-10 00:00:00+00:00,73.07550048828125,73.63849639892578,72.71800231933594,73.23500061035156,31762000,0.008691041345574524
2020-06-11 00:00:00+00:00,72.05149841308594,72.58000183105469,69.92050170898438,70.09500122070312,47144000,-0.04287566550801136
2020-06-12 00:00:00+00:00,71.29299926757812,71.72550201416016,69.29000091552734,70.64600372314453,36676000,0.007860795960420885
2020-06-15 00:00:00+00:00,69.47450256347656,71.25,69.36000061035156,71.03700256347656,30468000,0.005534620781443289
2020-06-16 00:00:00+00:00,72.44999694824219,72.8584976196289,71.44950103759766,72.32350158691406,30648000,0.018110266157245647
2020-06-17 00:00:00+00:00,72.64700317382812,73.11000061035156,71.75650024414062,72.62699890136719,30610000,0.004196385791531476
2020-06-18 00:00:00+00:00,72.49250030517578,72.64849853515625,71.31199645996094,71.70600128173828,34862000,-0.012681201668262365
2020-06-19 00:00:00+00:00,72.0,72.2249984741211,70.94999694824219,71.23200225830078,52784000,-0.0066103117586368
2020-06-22 00:00:00+00:00,71.25050354003906,72.54750061035156,70.95950317382812,72.53299713134766,29442000,0.018264190698012772
2020-06-23 00:00:00+00:00,72.5999984741211,73.76000213623047,72.25,73.1989974975586,37752000,0.009182032902968373
2020-06-24 00:00:00+00:00,73.16400146484375,73.78949737548828,71.5,71.63500213623047,31592000,-0.021366349469202572
2020-06-25 00:00:00+00:00,71.56099700927734,72.11599731445312,70.97699737548828,72.05500030517578,23958000,0.005863030033091743
2020-06-26 00:00:00+00:00,71.63150024414062,71.85099792480469,67.75,68.12699890136719,97640000,-0.054513932234713236
2020-06-29 00:00:00+00:00,68.01699829101562,69.9000015258789,67.5824966430664,69.8584976196289,45074000,0.02541574920639822
2020-06-30 00:00:00+00:00,69.84400177001953,71.19999694824219,69.34649658203125,70.90249633789062,40286000,0.014944477104935183
2020-07-01 00:00:00+00:00,70.95850372314453,72.42400360107422,70.70899963378906,72.0999984741211,42182000,0.01688942136146654
2020-07-02 00:00:00+00:00,72.59200286865234,74.4260025024414,72.55349731445312,73.49649810791016,57218000,0.019368927369538103
2020-07-06 00:00:00+00:00,74.40750122070312,75.5,73.8489990234375,74.98249816894531,44712000,0.020218651218638417
2020-07-07 00:00:00+00:00,74.80650329589844,76.06600189208984,74.48500061035156,74.49600219726562,42364000,-0.006488127010433109
2020-07-08 00:00:00+00:00,75.04000091552734,75.55850219726562,74.61499786376953,75.18000030517578,31766000,0.009181675361570774
2020-07-09 00:00:00+00:00,75.49649810791016,76.45700073242188,74.77950286865234,75.93299865722656,41836000,0.010015939731233825
2020-07-10 00:00:00+00:00,75.6624984741211,77.06700134277344,75.03600311279297,76.95050048828125,35918000,0.013399995378133855
2020-07-13 00:00:00+00:00,77.49700164794922,78.81800079345703,75.3280029296875,75.61150360107422,42954000,-0.01740075605370428
2020-07-14 00:00:00+00:00,74.6395034790039,76.13999938964844,74.29650115966797,76.04299926757812,38108000,0.005706746274753094
2020-07-15 00:00:00+00:00,76.1614990234375,76.81649780273438,74.8915023803711,75.84400177001953,31026000,-0.002616907532255075
2020-07-16 00:00:00+00:00,75.07499694824219,75.79550170898438,74.41349792480469,75.74600219726562,26484000,-0.0012921202793474418
2020-07-17 00:00:00+00:00,75.84549713134766,76.17150115966797,74.90499877929688,75.84249877929688,34264000,0.001273949505347316
2020-07-20 00:00:00+00:00,75.75,78.45050048828125,75.13500213623047,78.19200134277344,30166000,0.030978707206281042
2020-07-21 00:00:00+00:00,79.25150299072266,79.35250091552734,77.63099670410156,77.7959976196289,27486000,-0.005064504250358759
2020-07-22 00:00:00+00:00,77.7854995727539,78.3489990234375,77.1614990234375,78.24250030517578,24482000,0.005739404329384357
2020-07-23 00:00:00+00:00,78.29650115966797,78.51750183105469,75.42949676513672,75.8375015258789,33910000,-0.030737754671904094
2020-07-24 00:00:00+00:00,74.95950317382812,75.77149963378906,74.37950134277344,75.4104995727539,29902000,-0.005630485505634608
2020-07-27 00:00:00+00:00,75.66300201416016,76.87799835205078,75.61650085449219,76.47149658203125,27124000,0.014069619155005375
2020-07-28 00:00:00+00:00,76.25,76.30049896240234,75.0260009765625,75.18250274658203,30910000,-0.016855873012325717
2020-07-29 00:00:00+00:00,75.25,76.66649627685547,75.15049743652344,76.17549896240234,22676000,0.013207810056116598
2020-07-30 00:00:00+00:00,74.89849853515625,77.04450225830078,74.75849914550781,76.91850280761719,36042000,0.009753842841010663
2020-07-31 00:00:00+00:00,74.85250091552734,75.2509994506836,72.69999694824219,74.39749908447266,91468000,-0.03277499731696387
2020-08-03 00:00:00+00:00,74.55000305175781,74.8864974975586,73.58599853515625,74.13800048828125,45482000,-0.0034880016046878737
2020-08-04 00:00:00+00:00,74.33550262451172,74.65550231933594,73.20149993896484,73.66500091552734,37212000,-0.006379988260253544
2020-08-05 00:00:00+00:00,73.84100341796875,74.5,73.56099700927734,73.95449829101562,29134000,0.003929917489857271
2020-08-06 00:00:00+00:00,73.80750274658203,75.3134994506836,73.59500122070312,75.24749755859375,33306000,0.017483713600355832
2020-08-07 00:00:00+00:00,75.4520034790039,76.00450134277344,74.3134994506836,74.91850280761719,27718000,-0.0043721686654147884
2020-08-10 00:00:00+00:00,74.54000091552734,75.35749816894531,73.87449645996094,74.84100341796875,20546000,-0.0010344492581151332
2020-08-11 00:00:00+00:00,74.69999694824219,75.52200317382812,73.90950012207031,74.0270004272461,31098000,-0.010876430747148724
2020-08-12 00:00:00+00:00,74.35600280761719,75.58350372314453,74.25,75.36199951171875,22512000,0.018033948110388387
2020-08-13 00:00:00+00:00,75.4104995727539,76.84850311279297,75.4104995727539,75.8324966430664,22388000,0.00624316146593884
2020-08-14 00:00:00+00:00,75.68049621582031,75.989501953125,74.94999694824219,75.23149871826172,21942000,-0.007925334802485917
2020-08-17 00:00:00+00:00,75.79850006103516,76.18900299072266,75.25,75.81199645996094,19990000,0.007716152829457146
2020-08-18 00:00:00+00:00,76.30599975585938,77.86849975585938,76.08350372314453,77.78900146484375,28378000,0.02607773303961114
2020-08-19 00:00:00+00:00,77.62449645996094,78.44300079345703,77.0,77.23049926757812,30472000,-0.007179706471975189
2020-08-20 00:00:00+00:00,76.99849700927734,79.00849914550781,76.7229995727539,78.8125,26382000,0.02048414483170391
2020-08-21 00:00:00+00:00,78.58999633789062,79.59400177001953,78.1155014038086,78.77850341796875,34838000,-0.0004313602795400495
2020-08-24 00:00:00+00:00,79.62349700927734,80.43900299072266,78.75199890136719,79.25749969482422,25638000,0.006080291654108949
2020-08-25 00:00:00+00:00,79.00499725341797,80.44400024414062,78.89399719238281,80.2925033569336,25150000,0.01305874732479051
2020-08-26 00:00:00+00:00,80.31500244140625,82.6395034790039,80.04900360107422,82.20649719238281,52188000,0.02383776511414415
2020-08-27 00:00:00+00:00,82.33049774169922,82.39949798583984,80.94049835205078,81.4260025024414,31350000,-0.009494318777685695
2020-08-28 00:00:00+00:00,81.47350311279297,82.06749725341797,81.28050231933594,81.97149658203125,22418000,0.006699261449971017
2020-08-31 00:00:00+00:00,82.17849731445312,82.2249984741211,81.2665023803711,81.47650146484375,26422000,-0.0060386248614131555
2020-09-01 00:00:00+00:00,81.60800170898438,82.96099853515625,81.47650146484375,82.75399780273438,22652000,0.015679322441720878
2020-09-02 00:00:00+00:00,83.40049743652344,86.30500030517578,83.0094985961914,85.86949920654297,49522000,0.03764774496133949
2020-09-03 00:00:00+00:00,84.97599792480469,85.0,80.385498046875,81.47550201416016,63726000,-0.05117063955169787
2020-09-04 00:00:00+00:00,80.44999694824219,81.74949645996094,76.89849853515625,79.06050109863281,55850000,-0.029640822772808773
2020-09-08 00:00:00+00:00,76.25,77.77749633789062,75.82499694824219,76.18000030517578,54032000,-0.03643413276451957
2020-09-09 00:00:00+00:00,77.44499969482422,77.93599700927734,76.25849914550781,77.36150360107422,39242000,0.015509363233989992
2020-09-10 00:00:00+00:00,77.50900268554688,78.68299865722656,76.0,76.30249786376953,33024000,-0.013689053185491407
2020-09-11 00:00:00+00:00,76.40750122070312,76.93499755859375,74.6510009765625,75.78800201416016,30706000,-0.0067428441271732975
2020-09-14 00:00:00+00:00,76.5824966430664,77.8499984741211,75.25550079345703,75.44149780273438,42660000,-0.00457201934629492
2020-09-15 00:00:00+00:00,76.39450073242188,77.54949951171875,76.1050033569336,76.75599670410156,23042000,0.017424082761510862
2020-09-16 00:00:00+00:00,77.1240005493164,77.71849822998047,75.57949829101562,75.60449981689453,22128000,-0.015002044617388188
2020-09-17 00:00:00+00:00,74.29049682617188,74.93299865722656,73.12300109863281,74.35199737548828,40008000,-0.016566506549738014
2020-09-18 00:00:00+00:00,74.41500091552734,74.76000213623047,71.58100128173828,72.55449676513672,63056000,-0.024175552423614466
2020-09-21 00:00:00+00:00,71.58100128173828,72.00299835205078,70.13400268554688,71.50700378417969,56908000,-0.014437326804813022
2020-09-22 00:00:00+00:00,72.51599884033203,73.19850158691406,71.4749984741211,72.99099731445312,33950000,0.020753121397064644
2020-09-23 00:00:00+00:00,72.60449981689453,72.65399932861328,70.13400268554688,70.46949768066406,37726000,-0.03454535116058444
2020-09-24 00:00:00+00:00,70.13400268554688,71.89949798583984,70.10749816894531,71.14299774169922,34552000,0.009557327399822846
2020-09-25 00:00:00+00:00,71.25250244140625,72.2969970703125,70.38400268554688,71.9530029296875,30326000,0.01138559259098404
2020-09-28 00:00:00+00:00,73.59950256347656,73.64949798583984,72.31400299072266,72.93299865722656,30784000,0.01361994201265948
2020-09-29 00:00:00+00:00,73.19550323486328,73.5999984741211,72.69999694824219,73.3010025024414,31816000,0.0050457797154948025
2020-09-30 00:00:00+00:00,73.0469970703125,74.30999755859375,72.78800201416016,73.27999877929688,40924000,-0.0002865407351534399
2020-10-01 00:00:00+00:00,74.18299865722656,74.75350189208984,73.83999633789062,74.3949966430664,32884000,0.01521558245555732
2020-10-02 00:00:00+00:00,72.98149871826172,73.95149993896484,72.36750030517578,72.77999877929688,31222000,-0.021708420413243612
2020-10-05 00:00:00+00:00,73.13249969482422,74.23500061035156,73.00450134277344,74.1415023803711,21602000,0.018707112172438256
2020-10-06 00:00:00+00:00,73.7750015258789,74.22599792480469,72.25050354003906,72.5510025024414,26096000,-0.021452220778719666
2020-10-07 00:00:00+00:00,72.96549987792969,73.44850158691406,71.6614990234375,72.95700073242188,36108000,0.0055960388688882645
2020-10-08 00:00:00+00:00,73.27249908447266,74.40149688720703,73.27249908447266,74.17150115966797,26076000,0.0166467976349578
2020-10-09 00:00:00+00:00,74.64299774169922,75.59249877929688,74.3499984741211,75.52249908447266,32966000,0.018214515058774472
2020-10-12 00:00:00+00:00,76.9000015258789,79.4209976196289,76.46499633789062,78.22949981689453,55344000,0.035843632894007715
2020-10-13 00:00:00+00:00,78.85050201416016,79.25800323486328,77.93150329589844,78.35350036621094,39072000,0.0015850868228308723
2020-10-14 00:00:00+00:00,78.7300033569336,79.19249725341797,77.29499816894531,78.1719970703125,33174000,-0.002316466974035869
2020-10-15 00:00:00+00:00,77.2249984741211,78.56999969482422,77.05650329589844,77.77349853515625,31210000,-0.0050977146560272635
2020-10-16 00:00:00+00:00,78.09149932861328,78.885498046875,77.88300323486328,78.38500213623047,34194000,0.00786262174894703
2020-10-19 00:00:00+00:00,78.79650115966797,79.19650268554688,76.14600372314453,76.49749755859375,29734000,-0.02407991996168224
2020-10-20 00:00:00+00:00,76.15550231933594,78.69200134277344,76.0250015258789,77.55400085449219,41670000,0.01381095237905261
2020-10-21 00:00:00+00:00,78.49250030517578,80.75700378417969,78.35700225830078,79.29949951171875,60322000,0.02250688085713959
2020-10-22 00:00:00+00:00,79.25,80.6709976196289,78.8740005493164,80.33300018310547,30512000,0.013032877606421689
2020-10-23 00:00:00+00:00,80.75250244140625,81.70600128173828,80.59549713134766,81.64900207519531,30548000,0.01638183422865125
2020-10-26 00:00:00+00:00,80.75,81.47899627685547,78.38899993896484,79.2145004272461,35826000,-0.02981667364050755
2020-10-27 00:00:00+00:00,79.44650268554688,80.0999984741211,78.84950256347656,79.94400024414062,25902000,0.00920917020191947
2020-10-28 00:00:00+00:00,77.50050354003906,77.69049835205078,75.42400360107422,75.54000091552734,45174000,-0.05508855342694796
